"id","TypeCode","Type","Name","WardCode","Ward","createdBy","createdDate","lastModifiedBy","lastModifiedDate"
"5c4b0050-9140-47d4-a6c3-a7dab9c9690a","3","Corporation","Zone  1- East","20MC0105W","Madurai (M Corp.) WARD NO.-0005","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"5d2fd2f2-c752-4b01-87ec-c48474e21556","1","Town Panchayat","Thirunagar (TP)","20CT1813W","Thirunagar (TP) WARD NO.-0013","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"5ea2eaa3-130a-439d-a139-ffd854e15465","1","Town Panchayat","Vadipatti (TP)","20TP0918W","Vadipatti (TP) WARD NO.-0018","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"5f446e90-e003-4243-ba52-a8ad3ec2909e","1","Town Panchayat","Vilangudi (TP)","20CT2211W","Vilangudi (TP) WARD NO.-0011","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"604bcaa4-afdb-4c68-b3e3-02b5367b1430","1","Town Panchayat","A.Vellalapatti (TP)","20TP0105W","A.Vellalapatti (TP) WARD NO.-0005","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"6052fc29-a63b-4fc8-9312-903b69f141cf","1","Town Panchayat","Harveypatti (TP)","20CT0302W","Harveypatti (TP) WARD NO.-0002","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"6082f869-fd99-40b5-9270-ffcc617fabac","2","Municipality","Usilampatti (M)","20MU0304W","Usilampatti (M) WARD NO.-0004","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"60971bbc-b2c6-4662-8dac-3d1b67b0413e","3","Corporation","Zone  1- East","20MC0104W","Madurai (M Corp.) WARD NO.-0004","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"6220a4b9-1823-4f76-aa7e-578d4967d39e","1","Town Panchayat","T.Kallupatti (TP)","20TP0809W","T.Kallupatti (TP) WARD NO.-0008","System","2022-10-15 10:04:26.499928+00","","2022-10-15 10:04:26.499928+00"
"630f8ac0-d49e-4c18-b081-e3cbd833c13e","1","Town Panchayat","Elumalai (TP)","20TP0306W","Elumalai (TP) WARD NO.-0006","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"6342deae-2ea1-434d-8b7d-f8fc3c150a4b","1","Town Panchayat","Palamedu (TP)","20TP0406W","Palamedu (TP) WARD NO.-0006","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"640507d3-6d89-4aca-ad53-0aceb80b6f9f","1","Town Panchayat","Vadipatti (TP)","20TP0916W","Vadipatti (TP) WARD NO.-0016","System","2022-10-15 10:04:26.498924+00","","2022-10-15 10:04:26.498924+00"
"64392605-6c9c-43ac-aaca-fc8f6d2830d9","1","Town Panchayat","Paravai (TP)","20TP0511W","Paravai (TP) WARD NO.-0011","System","2022-10-15 10:04:26.49793+00","","2022-10-15 10:04:26.49793+00"
"64fcfafc-e984-4bc1-bbb0-33be0a4be579","2","Municipality","Thirumangalam (M)","20MU0219W","Thirumangalam (M) WARD NO.-0019","System","2022-10-15 10:04:26.500918+00","","2022-10-15 10:04:26.500918+00"
"6507b8ae-06be-4f09-b97f-2b0022cba5e5","3","Corporation","Zone  1- East","20MC0113W","Madurai (M Corp.) WARD NO.-0013","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
"6548a2e0-03e3-44d9-af9e-6ae9cfec1767","3","Corporation","Zone 2-  North","20MC0135W","Madurai (M Corp.) WARD NO.-0035","System","2022-10-15 10:04:26.501845+00","","2022-10-15 10:04:26.501845+00"
